,Anime_Name,Anime_img_url,Sub_Dub
98,Link Click Episode 5.5,https://img.zorores.com/_r/300x400/100/5b/1b/5b1b261865db2f84ec9399dd590e487b/5b1b261865db2f84ec9399dd590e487b.jpg,"['SUB', 'DUB']"
99,Beast Tamer,https://img.zorores.com/_r/300x400/100/c0/cf/c0cf2a6308cef68df726a0bf403cdfef/c0cf2a6308cef68df726a0bf403cdfef.jpg,"['SUB', 'DUB']"
100,Peter Grill and the Philosopher's Time: Super Extra,https://img.zorores.com/_r/300x400/100/be/b8/beb8d3d34708ab455d3b97f979f55011/beb8d3d34708ab455d3b97f979f55011.jpg,['SUB']
101,"More than a married couple, but not lovers.",https://img.zorores.com/_r/300x400/100/dc/d7/dcd76e41104504a3490f56903452c2cc/dcd76e41104504a3490f56903452c2cc.jpg,"['SUB', 'DUB']"
102,Shinobi no Ittoki,https://img.zorores.com/_r/300x400/100/8f/dc/8fdc5b931f798065341953e4265f43c4/8fdc5b931f798065341953e4265f43c4.jpg,"['SUB', 'DUB']"
103,Golden Kamuy Season 4,https://img.zorores.com/_r/300x400/100/a5/82/a5824f3734dc9833fd364019d9c96107/a5824f3734dc9833fd364019d9c96107.jpg,"['SUB', 'DUB']"
104,Reincarnated as a Sword,https://img.zorores.com/_r/300x400/100/8c/cc/8cccd0c253b338982bb873422f3b5f8a/8cccd0c253b338982bb873422f3b5f8a.jpg,['SUB']
105,Urusei Yatsura,https://img.zorores.com/_r/300x400/100/c2/74/c274e091a5fae95ba90cc281dea5a448/c274e091a5fae95ba90cc281dea5a448.jpg,['SUB']
106,Welcome to Demon School! Iruma-kun Season 3,https://img.zorores.com/_r/300x400/100/c4/e3/c4e3288d550028dcc1206174aefec86e/c4e3288d550028dcc1206174aefec86e.jpg,"['SUB', 'DUB']"
107,To Your Eternity Season 2,https://img.zorores.com/_r/300x400/100/4f/77/4f77a6dfec583383f72f36b07bca6d54/4f77a6dfec583383f72f36b07bca6d54.jpg,"['SUB', 'DUB']"
108,Mobile Suit Gundam: The Witch from Mercury - Prologue,https://img.zorores.com/_r/300x400/100/d6/c4/d6c43ba4690c2756526fff813d547fbc/d6c43ba4690c2756526fff813d547fbc.png,['SUB']
109,I Somehow Became Stronger by Raising Farming-Related Skills,https://img.zorores.com/_r/300x400/100/ac/61/ac61aacb4ae80b8c8af16870b1f8426f/ac61aacb4ae80b8c8af16870b1f8426f.jpg,['SUB']
110,"I'm the Villainess, So I'm Taming the Final Boss",https://img.zorores.com/_r/300x400/100/58/f9/58f96f86025eef966b9b81e80e96c015/58f96f86025eef966b9b81e80e96c015.jpg,"['SUB', 'DUB']"
111,My Hero Academia Season 6,https://img.zorores.com/_r/300x400/100/20/b7/20b7580c1abdf45a6eaf4826fc9fdf33/20b7580c1abdf45a6eaf4826fc9fdf33.jpg,"['SUB', 'DUB']"
112,Mob Psycho 100 III,https://img.zorores.com/_r/300x400/100/e3/d2/e3d22899f42d913cf47a96b7b575aab3/e3d22899f42d913cf47a96b7b575aab3.png,"['SUB', 'DUB']"
113,"Spy x Family, Part 2",https://img.zorores.com/_r/300x400/100/53/d2/53d283223e562b22a14023d8dc1e934d/53d283223e562b22a14023d8dc1e934d.jpg,"['SUB', 'DUB']"
